,R03_sales,R06_sales,N02BE_sales,resp_index,flu_index,flu_lag_2,R03_log,R03_log_diff
2015-01-05,39.0,10.0,234.4,49.0,11463.666666666666,11131.0,3.6888794541139363,
2015-01-12,32.0,9.0,231.45,41.0,9763.0,12205.666666666666,3.4965075614664802,-0.19237189264745602
2015-01-19,58.0,8.0,246.55,66.0,8622.0,11463.666666666666,4.07753744390572,0.5810298824392395
2015-01-26,40.0,9.0,199.3,49.0,7836.0,9763.0,3.713572066704308,-0.36396537720141175
2015-02-02,36.0,11.0,195.25,47.0,6828.333333333333,8622.0,3.6109179126442243,-0.1026541540600836
2015-02-09,65.0,13.0,222.82,78.0,5565.666666666667,7836.0,4.189654742026425,0.5787368293822008
2015-02-16,69.0,14.0,283.812,83.0,4395.333333333333,6828.333333333333,4.248495242049359,0.05884050002293417
2015-02-23,38.0,12.0,241.67,50.0,3467.6666666666665,5565.666666666667,3.6635616461296463,-0.5849335959197131
2015-03-02,17.0,10.0,245.35,27.0,2965.3333333333335,4395.333333333333,2.8903717578961645,-0.7731898882334818
2015-03-09,35.0,13.0,267.6,48.0,2683.6666666666665,3467.6666666666665,3.58351893845611,0.6931471805599454
2015-03-16,58.0,6.0,254.4,64.0,2473.3333333333335,2965.3333333333335,4.07753744390572,0.4940185054496098
2015-03-23,58.0,17.0,232.4,75.0,2214.0,2683.6666666666665,4.07753744390572,0.0
2015-03-30,15.0,21.0,227.87,36.0,1928.0,2473.3333333333335,2.772588722239781,-1.3049487216659386
2015-04-06,40.0,19.0,189.7,59.0,1682.6666666666667,2214.0,3.713572066704308,0.9409833444645268
2015-04-13,19.0,26.0,224.3,45.0,1421.6666666666667,1928.0,2.995732273553991,-0.7178397931503171
2015-04-20,6.0,24.0,239.1,30.0,1123.6666666666667,1682.6666666666667,1.9459101490553132,-1.0498221244986776
2015-04-27,20.0,41.7,196.8,61.7,836.3333333333334,1421.6666666666667,3.044522437723423,1.0986122886681098
2015-05-04,26.0,38.8,166.2,64.8,636.3333333333334,1123.6666666666667,3.295836866004329,0.2513144282809061
2015-05-11,12.0,36.7,198.35,48.7,507.0,836.3333333333334,2.5649493574615367,-0.7308875085427924
2015-05-18,10.0,29.8,126.85,39.8,406.0,636.3333333333334,2.3978952727983707,-0.16705408466316607
2015-05-25,51.0,38.5,196.1,89.5,305.6666666666667,507.0,3.9512437185814275,1.5533484457830569
2015-06-01,53.0,28.0,143.55,81.0,242.0,406.0,3.9889840465642745,0.03774032798284699
2015-06-08,26.0,27.6,167.476,53.6,199.0,305.6666666666667,3.295836866004329,-0.6931471805599454
2015-06-15,83.0,34.9,174.4,117.9,174.33333333333334,242.0,4.430816798843313,1.1349799328389842
2015-06-22,18.0,28.0,172.987,46.0,150.33333333333334,199.0,2.9444389791664403,-1.486377819676873
2015-06-29,35.0,30.3,152.1,65.3,134.0,174.33333333333334,3.58351893845611,0.6390799592896697
2015-07-06,21.0,40.5,198.25,61.5,116.33333333333333,150.33333333333334,3.091042453358316,-0.49247648509779385
2015-07-13,7.0,26.3,142.75,33.3,104.66666666666667,134.0,2.0794415416798357,-1.0116009116784803
2015-07-20,7.0,25.0,171.85,32.0,88.33333333333333,116.33333333333333,2.0794415416798357,0.0
2015-07-27,3.0,19.5,134.878,22.5,81.0,104.66666666666667,1.3862943611198906,-0.6931471805599452
2015-08-03,11.0,17.7,168.2,28.7,82.66666666666667,88.33333333333333,2.4849066497880004,1.0986122886681098
2015-08-10,7.0,20.0,169.688,27.0,82.33333333333333,81.0,2.0794415416798357,-0.4054651081081646
2015-08-17,10.0,18.0,194.0,28.0,88.66666666666667,82.66666666666667,2.3978952727983707,0.3184537311185349
2015-08-24,11.0,22.0,186.9,33.0,91.0,82.33333333333333,2.4849066497880004,0.08701137698962969
2015-08-31,22.0,21.0,180.15,43.0,109.33333333333333,88.66666666666667,3.1354942159291497,0.6505875661411493
2015-09-07,24.0,17.0,236.2,41.0,121.0,91.0,3.2188758248682006,0.08338160893905089
